Model,Qubits,Circuit Depth,Feature Map,Shots,Backend,Train Samples,Kernel Build Time (s),Total Runtime (s),Trainable Parameters,Best ROC-AUC
Quantum Kernel SVM (4q),4,31,ZZFeatureMap (reps=2),statevector (exact — equivalent to shots → ∞),statevector_simulator,800,6.8393,6.8515,-,0.4701
Quantum Kernel SVM (6q),6,49,ZZFeatureMap (reps=2),statevector (exact — equivalent to shots → ∞),statevector_simulator,800,8.3647,8.3727,-,0.6222
Quantum Kernel SVM (Pauli-4q),4,31,PauliFeatureMap (reps=2),statevector (exact — equivalent to shots → ∞),statevector_simulator,800,7.345,7.355,-,0.5436
VQC (4q),4,27,"ZZFeatureMap (reps=1) + RealAmplitudes (reps=3, linear)",StatevectorSampler (default_shots=1024),statevector_simulator,800,-,267.13,16,0.4775
